id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
SQLServer:README.md,SQLServer,README.md,.md,568,cd7616be4268c36a739ad3dc18db1ad40a8c00f2115ddb4ab4e291c9f276c0a7,documentation,utilities,SQLServer utilities helper: README.,REVIEW,False,[],False,README.md
SQLServer:scripts/diagnostics/sessions/README.md,SQLServer,scripts/diagnostics/sessions/README.md,.md,115,f8f721f2fe0f57ed32139bd595ef04dd4d4d9980269910a9395ceb1c6c9738de,documentation,diagnostics/sessions,SQLServer diagnostics/sessions helper: README.,REVIEW,False,[],False,scripts/diagnostics/sessions/README.md
SQLServer:scripts/diagnostics/sessions/sqlquery.cmd,SQLServer,scripts/diagnostics/sessions/sqlquery.cmd,.cmd,847,fcbca7768668c8febc45f215cb5a2d581f4cb666b6c8eb18e2a68624425009c1,script,diagnostics/sessions,SQLServer diagnostics/sessions helper: sqlquery.,REVIEW,True,[],False,scripts/diagnostics/sessions/sqlquery.cmd
SQLServer:scripts/storage/README.md,SQLServer,scripts/storage/README.md,.md,108,dd901c8d897270054247a7254e03c8fa02dd25ad8b9d1f6287396195295295f9,documentation,storage,SQLServer storage helper: README.,REVIEW,False,[],False,scripts/storage/README.md
SQLServer:scripts/storage/tables_size.sql,SQLServer,scripts/storage/tables_size.sql,.sql,1389,6f00fa966d923c04440e1a410504cb7e27b34b2015d5551b846d3ae47dfb675e,script,storage,SQLServer storage helper: tables size.,READ_ONLY,True,[],False,scripts/storage/tables_size.sql
SQLServer:scripts/utilities/README.md,SQLServer,scripts/utilities/README.md,.md,141,52159bc6d8a6fb9ffae383a0b7cbc387c72d4babf0592889598a22af2ebb0333,documentation,utilities,SQLServer utilities helper: README.,REVIEW,True,[],False,scripts/utilities/README.md
SQLServer:scripts/utilities/sqlexec.cmd,SQLServer,scripts/utilities/sqlexec.cmd,.cmd,824,45755270fd9ea5a55e418beeacfe8c2338dae23747dfbe4b614a3c92771765c0,script,utilities,SQLServer utilities helper: sqlexec.,REVIEW,True,[],False,scripts/utilities/sqlexec.cmd
SQLServer:scripts/utilities/version.sql,SQLServer,scripts/utilities/version.sql,.sql,790,1c1a022b1a3c73b33a16ca393dfb62ba2ad5081f3c124b42528afd5a473769b5,script,utilities,SQLServer utilities helper: version.,READ_ONLY,True,[],False,scripts/utilities/version.sql
