
Owner                Name                      Type                      Memory Used                                                                                                                    
SYS                  KUPD$DATA                 PACKAGE BODY                    55477                                                                                                                    
SYS                  DBMS_AW                   PACKAGE BODY                    54435                                                                                                                    
SYS                  PRVT_HDM                  PACKAGE BODY                    54092                                                                                                                    
TNCOLOMBIA           BI_DATA_LOAD_PK           PACKAGE BODY                    53010                                                                                                                    
TNLRDO               BI_GENERAL_PK             PACKAGE BODY                    50196                                                                                                                    
TNVENEZUELA          BI_DATA_LOAD_PK           PACKAGE BODY                    49931                                                                                                                    
BFI                  BI_LOAD_BCOSMOS_CONTRACTS PACKAGE BODY                    49688                                                                                                                    
                     _PK                                                                                                                                                                                
                                                                                                                                                                                                        
SYS                  KUPC$QUE_INT              PACKAGE BODY                    49288                                                                                                                    
DBSNMP               MGMT_BSLN_INTERNAL        PACKAGE BODY                    48897                                                                                                                    
TNLREC               BI_GENERAL_PK             PACKAGE BODY                    48612                                                                                                                    
TNPUERTORICO         BI_DATA_LOAD_PK           PACKAGE BODY                    48580                                                                                                                    
TNPUERTORICO         BI_DATAMART_PK            PACKAGE BODY                    48451                                                                                                                    
BFI                  BI_CREATE_TRECORD_FILE_PK PACKAGE BODY                    48173                                                                                                                    
PACO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47527                                                                                                                    
GTCO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47367                                                                                                                    
NICO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47271                                                                                                                    
HNCO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47231                                                                                                                    
CRCO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47223                                                                                                                    
SVCO_DW              IH_LOAD_JOBS_PK           PACKAGE BODY                    47191                                                                                                                    
CRCO_DW              WF_LOAD_PK                PACKAGE BODY                    47098                                                                                                                    
PACO_DW              WF_LOAD_PK                PACKAGE BODY                    47098                                                                                                                    
SYS                  DBMS_UTILITY              PACKAGE BODY                    47088                                                                                                                    
SVCO_DW              WF_LOAD_PK                PACKAGE BODY                    47034                                                                                                                    
GTCO_DW              WF_LOAD_PK                PACKAGE BODY                    46962                                                                                                                    
SYS                  DBMS_CDC_EXPDP            PACKAGE BODY                    45994                                                                                                                    
SYS                  KUPV$FT_INT               PACKAGE BODY                    42191                                                                                                                    
BRFC_DW              BI_DATAMART_PK            PACKAGE BODY                    41374                                                                                                                    
DBADMIN              GENERAL_APPLICATION_CONT_ PACKAGE BODY                    40316                                                                                                                    
                     PKG                                                                                                                                                                                
                                                                                                                                                                                                        
BFI                  BI_LOAD_TREC_COS_GL_PK    PACKAGE BODY                    39498                                                                                                                    
BFI                  BI_LOAD_TREC_BCOS_ACCOUNT PACKAGE BODY                    38720                                                                                                                    
                     _PK                                                                                                                                                                                
