
Owner                Name                      Type                      Memory Used                                                                                                                    
SYS                  DBMS_OUTPUT               PACKAGE BODY                    10991                                                                                                                    
SYS                  DBMS_SYSTEM               PACKAGE BODY                    10991                                                                                                                    
GTCO_DW              SM_DATAPATCH_PR           PROCEDURE                        8039                                                                                                                    
CRCO_DW              SM_DATAPATCH_PR           PROCEDURE                        8039                                                                                                                    
BRFC_DW              BI_DATABASE_MAINTENANCE_P PACKAGE BODY                     8026                                                                                                                    
                     K                                                                                                                                                                                  
                                                                                                                                                                                                        
SVCO_DW              SM_DATAPATCH_PR           PROCEDURE                        8015                                                                                                                    
CRCO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
NICO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
PACO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
HNCO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
GTCO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
SVCO_DW              GP_CONST_PK               PACKAGE BODY                     8011                                                                                                                    
SYS                  DBMS_SUM_RWEQ_EXPORT      PACKAGE BODY                     6936                                                                                                                    
TNLREC               REP_CALC_MATRIX_PK        PACKAGE BODY                     6921                                                                                                                    
EM_MONITOR           EDEALER_COE_STATUS_PRIORI FUNCTION                         6920                                                                                                                    
                     TIZE                                                                                                                                                                               
                                                                                                                                                                                                        
SYS                  DBMS_SCHED_EXPORT_CALLOUT PACKAGE BODY                     6910                                                                                                                    
                     S                                                                                                                                                                                  
                                                                                                                                                                                                        
ECBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
JMBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
SVBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
GTBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
BBBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
CRBC_DW              RECUPERATE_VALUE_DATE     FUNCTION                         6909                                                                                                                    
SYS                  DBMS_AQ_EXP_QUEUE_TABLES  PACKAGE BODY                     6908                                                                                                                    
DW_PUBLIC            DATA_DEFAULT_FUNC         FUNCTION                         6907                                                                                                                    
SYS                  DBMS_SCHED_CLASS_EXPORT   PACKAGE BODY                     6907                                                                                                                    
SYS                  DBMS_INTERNAL_SAFE_SCN    PACKAGE BODY                     6906                                                                                                                    
TNVENEZUELA          BI_GENERAL_PK             PACKAGE BODY                     6905                                                                                                                    
SYS                  DBMS_APPLICATION_INFO     PACKAGE BODY                     6905                                                                                                                    
SYS                  DBMS_SCHED_JOB_EXPORT     PACKAGE BODY                     6905                                                                                                                    
SYS                  DBMS_AQ_EXP_ZECURITY      PACKAGE BODY                     6904                                                                                                                    
TNCOLOMBIA           BI_GENERAL_PK             PACKAGE BODY                     6904                                                                                                                    
SYS                  DICTIONARY_OBJ_OWNER      FUNCTION                         6904                                                                                                                    
SYS                  DICTIONARY_OBJ_NAME       FUNCTION                         6903                                                                                                                    
SYS                  DBMS_RULE_EXP_RULES       PACKAGE BODY                     6903                                                                                                                    
SYS                  DBMS_RULE_EXP_UTLI        PACKAGE BODY                     6902                                                                                                                    
TNLRHT               HATR_GENERAL_PK           PACKAGE BODY                     6902                                                                                                                    
SYS                  DBMS_RULE_EXP_UTL         PACKAGE BODY                     6901                                                                                                                    
SYS                  DBMS_REPCAT_EXP           PACKAGE BODY                     6899                                                                                                                    
SYS                  DBMS_CDC_EXPVDP           PACKAGE BODY                     6899                                                                                                                    
SYS                  DBMS_AQADM_INV            PACKAGE BODY                     6898                                                                                                                    
TNCOLOMBIA           SMOUCFN                   FUNCTION                         6898                                                                                                                    
SYS                  DBMS_SYS_ERROR            PACKAGE BODY                     6898                                                                                                                    
SYS                  IS_VPD_ENABLED            FUNCTION                         6898                                                                                                                    
SYS                  DBMS_FLASHBACK            PACKAGE BODY                     6898                                                                                                                    
TNUS                 BI_GENERAL_PK             PACKAGE BODY                     6898                                                                                                                    
SYS                  DBMS_ZHELP_IR             PACKAGE BODY                     6897                                                                                                                    
PABC_DW              ISNUMBER                  FUNCTION                         6896                                                                                                                    
SYS                  KUPC$QUEUE                PACKAGE BODY                     6894                                                                                                                    
TNSV2                SMOUCFN                   FUNCTION                         6893                                                                                                                    
SYS                  DBMS_ODCI                 PACKAGE                          6893                                                                                                                    
TNSV                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
TNGT                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
TNEC                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
TNCR                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
TNPE                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
TNCL                 SMOUCFN                   FUNCTION                         6892                                                                                                                    
SYS                  UTL_LMS                   PACKAGE BODY                     6891                                                                                                                    
EM_MONITOR           EDEALER_PRODUCT           FUNCTION                         5794                                                                                                                    
SYS                  DICTIONARY_OBJ_TYPE       FUNCTION                         5791                                                                                                                    
TNSV2                SMCONDILINEFN             FUNCTION                         5787                                                                                                                    
TNJM                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNSV                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNEC                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNPE                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNGT                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNCR                 SMCONDILINEFN             FUNCTION                         5786                                                                                                                    
TNHN                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNTT                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNPE                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNJM                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNCR                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNGT                 SMLCONVCURRFN             FUNCTION                         2802                                                                                                                    
TNPE                 SMLGETPOOLFN              FUNCTION                         2801                                                                                                                    
TNPE                 SMLCYCONVFN               FUNCTION                         2800                                                                                                                    
TNCR2                SMOUCFN                   FUNCTION                         2797                                                                                                                    
TNCR2                SMCONDILINEFN             FUNCTION                         1691                                                                                                                    
TNCR                 SMSICFN                   FUNCTION                         1684                                                                                                                    

323 rows selected.


Code Loaded                              Memory Footprint Invalidations      Loads Executions                                                                                                           
======================================== ================ ============= ========== ==========                                                                                                           
SELECT 'X' FROM SYS.ALL_OBJECTS WHERE              321459             7          8      15100                                                                                                           
OBJECT_NAME = :1 AND OWNER = :2 AND OBJ                                                                                                                                                                 
                                                                                                                                                                                                        
SELECT /*+rule*/ SYS_XMLGEN(VALUE(KU$),            313419             8         10      37720                                                                                                           
XMLFORMAT.createFormat2('STRMTABLE_T', '                                                                                                                                                                
                                                                                                                                                                                                        
SELECT 1 FROM IL_CB_CTACOR ICA WHERE               280332             2          7       4144                                                                                                           
ICA.CTACTE = :B120 AND ICA.FILIAL =                                                                                                                                                                     
:B119 A                                                                                                                                                                                                 
                                                                                                                                                                                                        
SELECT /*+ rule */ U.NAME, OT.NAME,                263904             6          9       1726                                                                                                           
NULL, NULL, C.NAME, BITAND(H.SPARE2, 2),                                                                                                                                                                
BIT                                                                                                                                                                                                     
                                                                                                                                                                                                        
SELECT /*+ rule */ U.NAME, OT.NAME,                263888             7          9      14658                                                                                                           
NULL, NULL, C.NAME, BITAND(H.SPARE2, 2),                                                                                                                                                                
BIT                                                                                                                                                                                                     
                                                                                                                                                                                                        
SELECT 1 FROM IL_CB_CTACOR ICA WHERE               263020             0          2      48774                                                                                                           
ICA.CTACTE = :B120 AND ICA.FILIAL =                                                                                                                                                                     
:B119 A                                                                                                                                                                                                 
                                                                                                                                                                                                        
SELECT 1 FROM IL_CL_ENTE ICE WHERE                 242397             0          1       1181                                                                                                           
ICE.ENTE = :B113 AND NVL (TRIM                                                                                                                                                                          
(ICE.NOMBRE ),                                                                                                                                                                                          
                                                                                                                                                                                                        
SELECT 1 FROM IL_CB_CARTERA ICC WHERE              172086             1          3       1941                                                                                                           
BANCO = :B79 AND NVL(TRIM(OPERACION),'                                                                                                                                                                  
')                                                                                                                                                                                                      
                                                                                                                                                                                                        
SELECT :B8 TYPE_CON, :B59 KEY_CON, :B58            157504             0          2      22895                                                                                                           
RECID_CON, :B57 STAMP_CON, :B56 SETSTAMP                                                                                                                                                                
                                                                                                                                                                                                        
INSERT INTO RD_CB_CTACOR                           136782             4          5      39359                                                                                                           
(CTACTE,CTA_BANCO,FILIAL,OFICINA,OFICIAL                                                                                                                                                                
,NOMBRE,FECHA                                                                                                                                                                                           
                                                                                                                                                                                                        
INSERT INTO RD_CB_CTACOR                           136742             4          5       6806                                                                                                           
(CTACTE,CTA_BANCO,FILIAL,OFICINA,OFICIAL                                                                                                                                                                
,NOMBRE,FECHA                                                                                                                                                                                           
                                                                                                                                                                                                        
INSERT INTO IL_CB_CTACOR ( CTACTE,                 132945             2          8       2891                                                                                                           
CTA_BANCO, FILIAL, OFICINA, OFICIAL,                                                                                                                                                                    
NOMBRE,                                                                                                                                                                                                 
                                                                                                                                                                                                        
INSERT INTO IL_CB_CTACOR ( CTACTE,                 132945             2          4     275093                                                                                                           
CTA_BANCO, FILIAL, OFICINA, OFICIAL,                                                                                                                                                                    
NOMBRE,                                                                                                                                                                                                 
                                                                                                                                                                                                        
SELECT /*+ leading(u op icp isp)                   131158             1          2       1058                                                                                                           
use_hash(isp) */ OSP.OBJ# SPOBJN,                                                                                                                                                                       
ISP.SUBPART#                                                                                                                                                                                            
                                                                                                                                                                                                        
SELECT /*+ leading(u o) */ O.OBJ# POBJN,           127018             6          8       1713                                                                                                           
NVL(IP.PART#, ICP.PART#) PN, O.SUBNAME                                                                                                                                                                  
                                                                                                                                                                                                        
INSERT INTO IL_CB_CTACOR ( CTACTE,                 123697             0          3      48774                                                                                                           
CTA_BANCO, FILIAL, OFICINA, OFICIAL,                                                                                                                                                                    
NOMBRE,                                                                                                                                                                                                 
                                                                                                                                                                                                        
INSERT INTO IL_CL_ENTE ( ENTE, NOMBRE,             120282             0          1       2293                                                                                                           
SUBTIPO, FILIAL, OFICINA, CED_RUC,                                                                                                                                                                      
FECHA_                                                                                                                                                                                                  
                                                                                                                                                                                                        
SELECT /*+ ordered use_nl(u io i ito t             118690             6          8       2641                                                                                                           
itu po) */ IO.OBJ# IOBJN,I.TYPE#                                                                                                                                                                        
ITYPE,I.                                                                                                                                                                                                
                                                                                                                                                                                                        
INSERT INTO IL_CL_ENTE ( ENTE, NOMBRE,             110970             0          1       2318                                                                                                           
SUBTIPO, FILIAL, OFICINA, CED_RUC,                                                                                                                                                                      
FECHA_                                                                                                                                                                                                  
                                                                                                                                                                                                        
SELECT :B1 TYPE_CON, :B54 KEY_CON, :B53            108896             0          2     135795                                                                                                           
RECID_CON, :B52 STAMP_CON, :B51 SETSTAMP                                                                                                                                                                
                                                                                                                                                                                                        
SELECT ro.obj#, '"'||ru.name||'"' || '.'           105104             7          9       5104                                                                                                           
|| '"'||ro.name||'"',  decode(rl.ectx#,                                                                                                                                                                 
                                                                                                                                                                                                        
select u2.name, o2.name from ind$ i,               101842             7          8      20507                                                                                                           
obj$ o1, obj$ o2,    user$ u1, user$ u2                                                                                                                                                                 
whe                                                                                                                                                                                                     
                                                                                                                                                                                                        
SELECT COUNT(*) FROM ALL_TABLES WHERE              101360             0          1     502569                                                                                                           
TABLE_NAME LIKE 'DW_STD_COUNTRY' AND                                                                                                                                                                    
OWNER                                                                                                                                                                                                   
                                                                                                                                                                                                        
SELECT  round(bitand(s.ownerid, 65535))             97585             0          1      15786                                                                                                           
parent_session_sid, round(bitand(s.owner                                                                                                                                                                
                                                                                                                                                                                                        
/* OracleOEM */                                     93468             0          1       1231                                                                                                           
SELECT m.tablespace_name,                                                                                                                                                                               
m.used_percent,                                                                                                                                                                                         
(m.ta                                                                                                                                                                                                   
                                                                                                                                                                                                        
BEGIN :1 :=                                         92406             0          1       7080                                                                                                           
sys.kupc$que_int.transceive_int(:2, :3,                                                                                                                                                                 
:4, :5, :6); END;                                                                                                                                                                                       
                                                                                                                                                                                                        
BEGIN :1 :=                                         92406             0          1     143929                                                                                                           
sys.kupc$que_int.transceive_int(:2, :3,                                                                                                                                                                 
:4, :5, :6); END;                                                                                                                                                                                       
                                                                                                                                                                                                        
BEGIN :1 :=                                         92406             0          1       2923                                                                                                           
sys.kupc$que_int.transceive_int(:2, :3,                                                                                                                                                                 
:4, :5, :6); END;                                                                                                                                                                                       
                                                                                                                                                                                                        
SELECT DATA_DEFAULT FROM                            92188             0          1       4876                                                                                                           
SYS.ALL_TAB_COLUMNS WHERE OWNER = USER                                                                                                                                                                  
AND TABLE_NAME =                                                                                                                                                                                        
                                                                                                                                                                                                        
BEGIN sys.kupc$que_int.send(:1, :2, :3);            88326             0          1       7094                                                                                                           
END;                                                                                                                                                                                                    
                                                                                                                                                                                                        
delete from                                         82961             0          1       1284                                                                                                           
"SYS"."AQ$_KUPC$DATAPUMP_QUETAB_P" where                                                                                                                                                                
q_name = :1                                                                                                                                                                                             
                                                                                                                                                                                                        
SELECT error_msg FROM USER_RESUMABLE                72969             0          1       1381                                                                                                           
WHERE name LIKE :1 AND error_msg IS NOT                                                                                                                                                                 
NUL                                                                                                                                                                                                     
                                                                                                                                                                                                        
WITH UNQIDX AS (SELECT /*+ index(cc) */             69444             1          3       3407                                                                                                           
CD.CON#,CC.INTCOL# FROM SYS.CCOL$ CC, SY                                                                                                                                                                
                                                                                                                                                                                                        
SELECT path FROM SYS.LOADER_DIR_OBJS                67830             5          7       1530                                                                                                           
WHERE name = :dire                                                                                                                                                                                      
                                                                                                                                                                                                        
SELECT * FROM V$SQLAREA V WHERE                     63740             0          1      52675                                                                                                           
V.HASH_VALUE = :B1                                                                                                                                                                                      
                                                                                                                                                                                                        
INSERT INTO DW_CONTRACT_LEGS (                      62864             0          1       2341                                                                                                           
CONTRACT_NUMBER, NOMINAL_CURRENCY,                                                                                                                                                                      
BASE_NUMBER, O                                                                                                                                                                                          
                                                                                                                                                                                                        
INSERT INTO DW_CONTRACT_LEGS (                      62856             0          1      21626                                                                                                           
CONTRACT_NUMBER, NOMINAL_CURRENCY,                                                                                                                                                                      
BASE_NUMBER, O                                                                                                                                                                                          
                                                                                                                                                                                                        
