path,extension,bytes,sha256,kind,suggested_category,has_header,third_party,duplicate_count,copy_style_name
README.md,.md,5148,7a8eacc52f0d5269deb22c0f577a279cb932d7a472fa53480f6730fc11a5cb35,unknown,utilities,no,no,1,no
archive/bundles/cscripts-master.zip,.zip,524168,e60e6f8b40fac5dacf20eee60ab048e655d6a81391344dd72988de78bd9c8213,archive_bundle,utilities,no,no,1,no
archive/bundles/legacy_rman/scriptsRMANCopy.rar,.rar,12891,1fb47afdedbec0fd2100d01a0b2f7f6a99dcb6afd9b1d01d663b31e1fa0f5ae1,archive_bundle,backup_recovery/rman,no,no,1,no
archive/bundles/performance_report_online_html22.html.gz,.gz,26407,f491c8b476fb15298a62190c25eed9e3653e47cb612c0626e8d7b245021c3f81,archive_bundle,backup_recovery/rman,no,no,1,no
archive/bundles/sqldb360-19.4.zip,.zip,861216,9ab85cc1d75805a9e53ed3bd83e469b6c46ab211556e609293111041f93e047c,archive_bundle,utilities,no,no,1,no
archive/bundles/sqlt_10g_11g_12c_18c_19c_5th_June_2020.zip,.zip,948892,89a1c5d4da723551c521532fdc9abacc1b595f47270b17c7ba065ca316ba9d00,archive_bundle,utilities,no,no,1,no
archive/review/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/CONTROLFSTB.CTL,.ctl,1010,abd053c185bcb93a84b576f795913b0c4b1ebad1740228f55ba5f46ebf08bf26,unknown,utilities,no,no,1,no
config/init.ora,.ora,2472,631e1523ebf7e694d6a1c941795f289c041001d958b057a6b84a214d9bf7bf18,config,utilities,no,no,1,no
config/initdb01Temp.ora,.ora,2485,c2660ce620d647aa394b692b447fa6a9beb1100ba22a33ccca9c887a9edf758a,config,utilities,no,no,1,no
config/legacy_rman/creacbasedba/init.ora,.ora,2713,6e3b6898e80b8a08e4602c9bb047aa0fb261eac68144a54b5c15fad11451bb08,config,utilities,no,no,1,no
config/legacy_rman/creacbasedba/initdbaTemp.ora,.ora,2726,5111ef7cfa91fd8f93970b9a17a4bf8c4504ea410de74918f2398ff897027c59,config,utilities,no,no,1,no
config/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/INITcm.ORA,.ora,1480,1faee4fb9fbf1f5bde26122b48334e89eb64251a85d31a9c8955524f77811668,config,utilities,no,no,1,no
config/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/INITcmSwitch.ORA,.ora,1477,63259e9e6fae3bd1f5365cd9ae566a7e01e199e4498456413d9ddef24801508d,config,utilities,no,no,1,no
config/prod.pfile,.pfile,941,bb999d0d89d7c977becc6c8c5bfb67acf4995cba5980aa2b0030d99c58b31efc,config,utilities,no,no,1,no
config/prod_11gR2.pfile,.pfile,1093,9db970779c7c16392fbe7e3e20083ecce8a7ea2a9bbb5e1aa0e12a6ba565aa00,config,utilities,no,no,1,no
config/shell/acs_exp_oci/cfg/oracle.acs.oci.expdp.cfg,.cfg,1865,4932e393464310a5e56f3111da3bb6325268a0f348d5968e3c98928681327c1e,config,cloud/oci,no,no,1,no
config/shell/acs_exp_oci/par/dev/exp.par,.par,133,e9eb1ae4757f89ac466847f35eb17721843885044834f3d04cdd455c1ab8fd82,config,cloud/oci,no,no,4,no
config/shell/acs_exp_oci/par/exp_full.par,.par,133,e9eb1ae4757f89ac466847f35eb17721843885044834f3d04cdd455c1ab8fd82,config,cloud/oci,no,no,4,no
config/shell/acs_exp_oci/par/exp_full_metadata.par,.par,172,82817f0dc8dc3e3cfd0f5b7beee43def64897e6c1d4d0060c21446163b7fa7e9,config,cloud/oci,no,no,1,no
config/shell/acs_exp_oci/par/exp_schema_metadata.par,.par,178,1f5c1081a1d80a08a20bceeb9b417aca954ca19475cb7d1da6aa388346c77a7d,config,cloud/oci,no,no,1,no
config/shell/acs_exp_oci/par/exp_tables.par,.par,416,6191f8825def1e08fa7ac269bf65aa89d1f6b09bad60ab34350b8756f3767cbe,config,cloud/oci,no,no,1,no
config/shell/acs_exp_oci/par/prod/exp.par,.par,133,e9eb1ae4757f89ac466847f35eb17721843885044834f3d04cdd455c1ab8fd82,config,cloud/oci,no,no,4,no
config/shell/acs_exp_oci/par/qa/exp.par,.par,133,e9eb1ae4757f89ac466847f35eb17721843885044834f3d04cdd455c1ab8fd82,config,cloud/oci,no,no,4,no
config/shell/deploy_management/oracle.db.deploy.cfg,.cfg,1350,ad41f640b801c756fc6216dfaf35505076e72af6f74f251f7da5575db1169837,config,platform/rac,no,no,1,no
config/task_backup.json,.json,5087,ad7fc2b5a896359b345092521e33f60da195b84f85788ddfca3aa9bd452d6c07,config,utilities,no,no,1,no
config/tnsnames.ora,.ora,68604,f179cad36464eabd7990d8f09ef543b04670b1bce16e99883eb5985ffe9f1b35,config,utilities,no,no,1,no
