id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
aws:scripts/cloud/cli/cli/current_environment.sh,aws,scripts/cloud/cli/cli/current_environment.sh,.sh,771,7bc7e0d8f2eda438f5aaad82b62c21ff3293ee98322ea8892d5718adf6b2c56e,script,cloud/cli,aws cloud/cli helper: current environment.,REVIEW,True,[],False,scripts/cloud/cli/cli/current_environment.sh
aws:scripts/cloud/cli/cli/reachability-analyzer.sh,aws,scripts/cloud/cli/cli/reachability-analyzer.sh,.sh,4319,7377510600a9c69a1598ca50d9a37da097fd3842d1ff01a7a74a1f50d60ab24c,script,cloud/cli,aws cloud/cli helper: reachability analyzer.,CHANGES,True,"['DB_HOST_ENI', 'DB_HOST_IP', 'DEST_ID', 'DEST_PORT', 'NIA_ID', 'NI_PATH_ID', 'RDS_EP', 'STATUS', 'arg1', 'arg2', 'arg3']",False,scripts/cloud/cli/cli/reachability-analyzer.sh
aws:scripts/cloud/cloud9/README.md,aws,scripts/cloud/cloud9/README.md,.md,214,971c9b6ba09418acb26b0ff7b6209272e745b3e32b7011c3e20206ce29075145,documentation,cloud/cloud9,aws cloud/cloud9 helper: README.,REVIEW,True,[],False,scripts/cloud/cloud9/README.md
aws:scripts/cloud/cloud9/cloud9/psql_setup.sh,aws,scripts/cloud/cloud9/cloud9/psql_setup.sh,.sh,3005,951aa3e3f349d6cbfb0f03c994df828f045fac3195edfc4f4a33837342f9e082,script,cloud/cloud9,aws cloud/cloud9 helper: psql setup.,CHANGES,True,"['AWSREGION', 'CREDS', 'CreatedDate', 'DB14ENDP', 'DBENDP', 'DBPASS', 'DBUSER', 'PG14HOST', 'PGHOST', 'PGPASSWORD', 'PGUSER', 'SECRETARN']",False,scripts/cloud/cloud9/cloud9/psql_setup.sh
aws:scripts/cloud/dms/README.md,aws,scripts/cloud/dms/README.md,.md,1572,2b7c8f8a9ba4f6f78ba87daf1c096fc4483451501fa84995debfd182af70d91b,documentation,cloud/dms,aws cloud/dms helper: README.,CHANGES,False,[],False,scripts/cloud/dms/README.md
aws:scripts/cloud/dms/dms/aws.cli.enablebatch.sh,aws,scripts/cloud/dms/dms/aws.cli.enablebatch.sh,.sh,906,d0e12028119bff7170ed818a2b7cd24fcc68c2f338658d53ce8ba0e94de2cdc3,script,cloud/dms,aws cloud/dms helper: aws.cli.enablebatch.,REVIEW,True,"['IDIDID', 'XXXXXXXXXXX', 'aws', 'dms', 'task', 'true', 'us']",False,scripts/cloud/dms/dms/aws.cli.enablebatch.sh
aws:scripts/cloud/dms/dms/awsdms_support_collector_oracle.sql,aws,scripts/cloud/dms/dms/awsdms_support_collector_oracle.sql,.sql,58407,23336625288712d597c223fc32b6a46690ce132e73d2b3b9db3a70fb9c0ed6c2,script,cloud/dms,aws cloud/dms helper: awsdms support collector oracle.,DESTRUCTIVE,True,"['GRANTEE', 'MI', 'NULLABLE', 'OWNER', 'PARSING_SCHEMA_NAME', 'SS', 'TABLE_OWNER', 'X', 'Y', 'v_connector', 'v_days', 'v_owner']",False,scripts/cloud/dms/dms/awsdms_support_collector_oracle.sql
aws:scripts/cloud/dms/dms/awsdms_support_collector_postgres.sql,aws,scripts/cloud/dms/dms/awsdms_support_collector_postgres.sql,.sql,46032,6ccd274863d14f6f3146fbdbbba43f2d8d4c6a4c25380d7b41c71883aa4f9790,script,cloud/dms,aws cloud/dms helper: awsdms support collector postgres.,DESTRUCTIVE,True,"['Black', 'Consolas', 'White', 'bigint', 'black', 'bold', 'integer', 'is_eq_9', 'is_ge_10', 'is_non_rds', 'is_rds', 'none', 'regclass', 'text', 'timestamp', 'top', 'v_connector', 'v_owner', 'verdana']",False,scripts/cloud/dms/dms/awsdms_support_collector_postgres.sql
aws:scripts/cloud/dms/dms/create-endpoint.sh,aws,scripts/cloud/dms/dms/create-endpoint.sh,.sh,1040,92a4e70073397a7faa2e729e804a4ed40be9993ab47ffafabebf4a9f3171b443,script,cloud/dms,aws cloud/dms helper: create endpoint.,CHANGES,True,[],False,scripts/cloud/dms/dms/create-endpoint.sh
aws:scripts/cloud/dms/dms/delete_unused_dms_endpoints.sh,aws,scripts/cloud/dms/dms/delete_unused_dms_endpoints.sh,.sh,1228,f99e2192d86de5993477e2734630c028053181a147c362253d0fa39a572272c2,script,cloud/dms,aws cloud/dms helper: delete unused dms endpoints.,DESTRUCTIVE,True,"['arg1', 'arg2']",False,scripts/cloud/dms/dms/delete_unused_dms_endpoints.sh
aws:scripts/cloud/dms/dms/describe-replication-tasks.sh,aws,scripts/cloud/dms/dms/describe-replication-tasks.sh,.sh,2079,d95bb7c264aada6460f426b87f39b1652c1da2ae8096f198ddefce9e3a468bac,script,cloud/dms,aws cloud/dms helper: describe replication tasks.,READ_ONLY,True,[],False,scripts/cloud/dms/dms/describe-replication-tasks.sh
aws:scripts/cloud/dms/dms/describe_instances.sh,aws,scripts/cloud/dms/dms/describe_instances.sh,.sh,833,e0d0627b0962bbdd25cbd71e1e77aa26088eba38ee9deb5c09369498e7f1751c,script,cloud/dms,aws cloud/dms helper: describe instances.,READ_ONLY,True,[],False,scripts/cloud/dms/dms/describe_instances.sh
aws:scripts/cloud/dms/dms/dms.create-replication-instance.sh,aws,scripts/cloud/dms/dms/dms.create-replication-instance.sh,.sh,1491,1ba9f517def45e9bb27ccb731c6c72dad7b39ec6b2584f75acc02a2f983c5528,script,cloud/dms,aws cloud/dms helper: dms.create replication instance.,CHANGES,True,[],False,scripts/cloud/dms/dms/dms.create-replication-instance.sh
aws:scripts/cloud/dms/dms/dms.describe-endpoints.sh,aws,scripts/cloud/dms/dms/dms.describe-endpoints.sh,.sh,792,f45203516eeefe23a166b66e30f1ddc2c0b9b3829532cd99e5ced12e4340c587,script,cloud/dms,aws cloud/dms helper: dms.describe endpoints.,READ_ONLY,True,[],False,scripts/cloud/dms/dms/dms.describe-endpoints.sh
aws:scripts/cloud/dms/dms/dms.describe-table-statistics.sh,aws,scripts/cloud/dms/dms/dms.describe-table-statistics.sh,.sh,823,9de6cbd957fc1006008c744d200402aa2ddb4add288ec53ac2ef8d33aeaed8a5,script,cloud/dms,aws cloud/dms helper: dms.describe table statistics.,READ_ONLY,True,[],False,scripts/cloud/dms/dms/dms.describe-table-statistics.sh
aws:scripts/cloud/dms/dms/filter-log-events.sh,aws,scripts/cloud/dms/dms/filter-log-events.sh,.sh,888,97727eb853e10ea01e8c2bf2e3b2e5bcab8b6bc2e0cf0982a1bcb6eea1a54d3a,script,cloud/dms,aws cloud/dms helper: filter log events.,REVIEW,True,[],False,scripts/cloud/dms/dms/filter-log-events.sh
aws:scripts/cloud/dms/dms/listing_unsused_dms_endpoitns.sh,aws,scripts/cloud/dms/dms/listing_unsused_dms_endpoitns.sh,.sh,1643,779702381bd7d626bd322937b3c57a222acfcef675b6048404627f200bc38c66,script,cloud/dms,aws cloud/dms helper: listing unsused dms endpoitns.,READ_ONLY,True,"['arg1', 'arg2']",False,scripts/cloud/dms/dms/listing_unsused_dms_endpoitns.sh
aws:scripts/cloud/dms/dms/modify_replication_task.sh,aws,scripts/cloud/dms/dms/modify_replication_task.sh,.sh,980,7903d3f94c92085e29db22a2c54b91a02e0cce25ee998dcdde2f85e78f40ef59,script,cloud/dms,aws cloud/dms helper: modify replication task.,REVIEW,True,"['F2G5JZIPAQFBDVVBZMR537CSTU', 'aws', 'dms', 'task', 'us']",False,scripts/cloud/dms/dms/modify_replication_task.sh
aws:scripts/cloud/dms/dms/oracle.sql,aws,scripts/cloud/dms/dms/oracle.sql,.sql,2323,31ac4eb667d90a51781c20c00f7c8519478ca78fd2bba6f28b3bcb17857c54b9,script,cloud/dms,aws cloud/dms helper: oracle.,CHANGES,True,['TABLE_NAME'],False,scripts/cloud/dms/dms/oracle.sql
aws:scripts/cloud/dms/dms/postgres.sql,aws,scripts/cloud/dms/dms/postgres.sql,.sql,1171,9b529c8c44a96aba801e125501d3d3ec00282941dcfde71fdfa3b9697de899fd,script,cloud/dms,aws cloud/dms helper: postgres.,READ_ONLY,True,[],False,scripts/cloud/dms/dms/postgres.sql
aws:scripts/cloud/dms/dms/test-connection.sh,aws,scripts/cloud/dms/dms/test-connection.sh,.sh,1264,efb7048c78be2a6136d2995e243702388c1e5c17ddb8b4f613b9af827289f7ab,script,cloud/dms,aws cloud/dms helper: test connection.,READ_ONLY,True,"['LUI5N3XRZ5JJ6RZ2HHR4NOGAYTZWFORAVNJK3NA', 'T3OM7OUB5NM2LCVZF7JPGJRNUE', 'aws', 'dms', 'endpoint', 'rep', 'us']",False,scripts/cloud/dms/dms/test-connection.sh
aws:scripts/cloud/dms/dms/upgrade_migrate_postgres_dms.sh,aws,scripts/cloud/dms/dms/upgrade_migrate_postgres_dms.sh,.sh,5979,071e4d8c73cf5a727ac4dfdfb2beade13c75aa756b2772d4e5835a8927f92f3e,script,cloud/dms,aws cloud/dms helper: upgrade migrate postgres dms.,DESTRUCTIVE,True,"['EM365OHC4SFK666Y3JFWXGWP6MZ3CHCGQ5V6ZHQ', 'HBVG6NX2WLAIMEJSP44X6CI67YWGSNANQQHO64Y', 'LUI5N3XRZ5JJ6RZ2HHR4NOGAYTZWFORAVNJK3NA', 'aws', 'dms', 'endpoint', 'rep', 'text', 'us']",False,scripts/cloud/dms/dms/upgrade_migrate_postgres_dms.sh
aws:scripts/cloud/ec2/README.md,aws,scripts/cloud/ec2/README.md,.md,252,e62272b6f9812661ac1e56403b44cc4c631b29f2a4b19467ef612ffe8c7d8a80,documentation,cloud/ec2,aws cloud/ec2 helper: README.,CHANGES,True,[],False,scripts/cloud/ec2/README.md
aws:scripts/cloud/ec2/ec2/cidr_internal_authorize-security-group-ingress.sh,aws,scripts/cloud/ec2/ec2/cidr_internal_authorize-security-group-ingress.sh,.sh,17044,d13ffd59bfe0c2a8751ac7ee4c3c4bdcf361fcee86b5061082490ffaea9cc718,script,cloud/ec2,aws cloud/ec2 helper: cidr internal authorize security group ingress.,REVIEW,True,[],False,scripts/cloud/ec2/ec2/cidr_internal_authorize-security-group-ingress.sh
aws:scripts/cloud/ec2/ec2/create-managed-prefixlist.sh,aws,scripts/cloud/ec2/ec2/create-managed-prefixlist.sh,.sh,2894,4c4aee854fc75993eab45b9b3b6560320bb5241aa40969d1c1419d4d616c26e4,script,cloud/ec2,aws cloud/ec2 helper: create managed prefixlist.,CHANGES,True,[],False,scripts/cloud/ec2/ec2/create-managed-prefixlist.sh
aws:scripts/cloud/ec2/ec2/describe-authorize-security-groups.sh,aws,scripts/cloud/ec2/ec2/describe-authorize-security-groups.sh,.sh,1332,7dd51a6dcb42e2bc3f868e22678e16265060db4bc543a026403e6c80f4cf436b,script,cloud/ec2,aws cloud/ec2 helper: describe authorize security groups.,READ_ONLY,True,[],False,scripts/cloud/ec2/ec2/describe-authorize-security-groups.sh
aws:scripts/cloud/kms/README.md,aws,scripts/cloud/kms/README.md,.md,296,b5b9455b3f20a688a2da03bd7535a6302e19fda278a265b6797cd7c560ea26de,documentation,cloud/kms,aws cloud/kms helper: README.,DESTRUCTIVE,False,[],False,scripts/cloud/kms/README.md
aws:scripts/cloud/kms/kms/put-key-policy.sh,aws,scripts/cloud/kms/kms/put-key-policy.sh,.sh,2755,f0e03ecb791e1b301103a394faf2c6419b1513db482ae5ae7199d984333a2d05,script,cloud/kms,aws cloud/kms helper: put key policy.,DESTRUCTIVE,True,"['CancelKeyDeletion', 'Create', 'Decrypt', 'Delete', 'Describe', 'Disable', 'Enable', 'GenerateDataKey', 'Get', 'List', 'Put', 'Revoke', 'ScheduleKeyDeletion', 'TagResource', 'UntagResource', 'Update', 'aws', 'iam', 'root', 'user']",False,scripts/cloud/kms/kms/put-key-policy.sh
aws:scripts/cloud/lambda/README.md,aws,scripts/cloud/lambda/README.md,.md,108,2ea50cbdb7c8b41193688a4ba1afb141476f56258a588006e9e926af60bc2512,documentation,cloud/lambda,aws cloud/lambda helper: README.,REVIEW,False,[],False,scripts/cloud/lambda/README.md
aws:scripts/cloud/lambda/lambda/lambda_function.py,aws,scripts/cloud/lambda/lambda/lambda_function.py,.py,1615,c14d0de8ded60fd581c86199c6ceb456153ac2882584bab8d3d81fbe11763ca1,script,cloud/lambda,aws cloud/lambda helper: lambda function.,CHANGES,True,[],False,scripts/cloud/lambda/lambda/lambda_function.py
aws:scripts/cloud/rds/README.md,aws,scripts/cloud/rds/README.md,.md,2766,a854aece6b16aa7642e685bdea8ecd73c61762152f094ab4ca48fe74282de962,documentation,cloud/rds,aws cloud/rds helper: README.,DESTRUCTIVE,True,[],False,scripts/cloud/rds/README.md
aws:scripts/cloud/rds/rds/cliauth,aws,scripts/cloud/rds/rds/cliauth,,670,122b7a539876ced971391881b7ffbc33f02dffeef876027a71b554b139409d4b,script,cloud/rds,aws cloud/rds helper: cliauth.,REVIEW,True,[],False,scripts/cloud/rds/rds/cliauth
aws:scripts/cloud/rds/rds/create-event-subscription.sh,aws,scripts/cloud/rds/rds/create-event-subscription.sh,.sh,2786,2b296ff3cad71bc4ec8c3e17e1d287608e4851128f627426a9de79eb13d4839a,script,cloud/rds,aws cloud/rds helper: create event subscription.,CHANGES,True,"['Decrypt', 'GenerateDataKey', 'aws', 'iam', 'key', 'kms', 'my', 'root', 'sns', 'us']",False,scripts/cloud/rds/rds/create-event-subscription.sh
