id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
os:README.md,os,README.md,.md,540,550576af92a82788ea1387c1af8a162598edf50ee3b979d6ad8a59c3661362bb,documentation,platform/utilities,os platform/utilities helper: README.,REVIEW,False,[],False,README.md
os:scripts/platform/linux/README.md,os,scripts/platform/linux/README.md,.md,247,f0a9bf610708eed4c7e6a494a4a29cee8102fa797d19fb8cb5b9884a04e2d4b5,documentation,platform/linux,os platform/linux helper: README.,REVIEW,False,[],False,scripts/platform/linux/README.md
os:scripts/platform/linux/linux/curl_test_algorithms_ciphers.sh,os,scripts/platform/linux/linux/curl_test_algorithms_ciphers.sh,.sh,2851,e686d23dc5d6e0a131a6ab1f5a95de24c06c350f51686ea6d167085cecd99e05,script,platform/linux,os platform/linux helper: curl test algorithms ciphers.,READ_ONLY,True,[],False,scripts/platform/linux/linux/curl_test_algorithms_ciphers.sh
os:scripts/platform/linux/linux/netstat.listen.sh,os,scripts/platform/linux/linux/netstat.listen.sh,.sh,741,0430f923e4fd97b2f5230a8f7814ac13d0da5ac747692ad397d2613c7ea76587,script,platform/linux,os platform/linux helper: netstat.listen.,REVIEW,True,[],False,scripts/platform/linux/linux/netstat.listen.sh
os:scripts/platform/linux/linux/network_latency_mtr.sh,os,scripts/platform/linux/linux/network_latency_mtr.sh,.sh,869,e092945395653e92bab9336121e4d83f85bfb3fab250d4df1fb786534337daa1,script,platform/linux,os platform/linux helper: network latency mtr.,REVIEW,True,[],False,scripts/platform/linux/linux/network_latency_mtr.sh
os:scripts/platform/linux/linux/telnet_nc.sh,os,scripts/platform/linux/linux/telnet_nc.sh,.sh,814,43a315220a4b24aacbd816dadfd47b870c624d5b23c7250b2d3be8202eb41533,script,platform/linux,os platform/linux helper: telnet nc.,REVIEW,True,[],False,scripts/platform/linux/linux/telnet_nc.sh
os:scripts/platform/windows/README.md,os,scripts/platform/windows/README.md,.md,119,d4b182c8e2deb6826120d2915b0cd25f1f643487b7eb0f1748b3a9b0d3a8f905,documentation,platform/windows,os platform/windows helper: README.,REVIEW,False,[],False,scripts/platform/windows/README.md
os:scripts/platform/windows/windows/enable_telnet.sh,os,scripts/platform/windows/windows/enable_telnet.sh,.sh,741,c2348433721d6218613d149f0a7ed59af1fe6dd8fc72ec76daa62c2a3f3764ff,script,platform/windows,os platform/windows helper: enable telnet.,REVIEW,True,['TelnetClient'],False,scripts/platform/windows/windows/enable_telnet.sh
