id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
mongodb:README.md,mongodb,README.md,.md,527,1b0894632e9df01e379a59030ef36a84823e9075bc233caa34ca069c8a920759,documentation,utilities,mongodb utilities helper: README.,REVIEW,False,[],False,README.md
mongodb:config/order.json,mongodb,config/order.json,.json,71119,0e66dcc752d786caab7cfb8187941107bb4815bd275bb160857e89760796d5cd,config,order.json,mongodb order.json helper: order.,READ_ONLY,False,[],False,config/order.json
mongodb:scripts/backup_recovery/README.md,mongodb,scripts/backup_recovery/README.md,.md,131,286b64312bfedf3b15be5e6214edaa252a2baf4621ed79d3746a232f5d741fb7,documentation,backup_recovery,mongodb backup_recovery helper: README.,REVIEW,False,[],False,scripts/backup_recovery/README.md
mongodb:scripts/backup_recovery/import_documentdb_mongoimport.sh,mongodb,scripts/backup_recovery/import_documentdb_mongoimport.sh,.sh,1203,72de08e68dcdcba94a73b3c03b904867cadebe817d2d1b9e048330168baaf23a,script,backup_recovery,mongodb backup_recovery helper: import documentdb mongoimport.,READ_ONLY,True,[],False,scripts/backup_recovery/import_documentdb_mongoimport.sh
